time_ms,s1,s2,s3,errorX,errorY,posX,posY
21545,1,1,2,1.00,-0.50,47.80,117.30
21583,1,1,3,2.00,-1.00,47.85,117.32
21622,1,1,3,2.00,-1.00,47.89,117.36
21660,1,1,3,2.00,-1.00,47.93,117.39
21699,1,1,3,2.00,-1.00,47.98,117.42
21737,1,1,3,2.00,-1.00,48.02,117.45
21776,1,1,3,2.00,-1.00,48.06,117.48
21815,1,1,3,2.00,-1.00,48.10,117.51
21853,1,1,3,2.00,-1.00,48.15,117.54
21892,1,1,3,2.00,-1.00,48.19,117.57
21929,1,1,3,2.00,-1.00,48.23,117.60
21968,1,1,3,2.00,-1.00,48.28,117.63
22006,1,1,3,2.00,-1.00,48.32,117.66
22045,1,1,3,2.00,-1.00,48.36,117.69
22084,1,1,3,2.00,-1.00,48.41,117.72
22122,1,1,3,2.00,-1.00,48.45,117.75
22161,1,1,3,2.00,-1.00,48.49,117.78
22199,1,1,3,2.00,-1.00,48.54,117.81
22238,1,0,3,3.00,-0.50,48.61,117.86
22277,1,1,3,2.00,-1.00,48.65,117.88
22315,1,1,3,2.00,-1.00,48.69,117.91
22353,1,1,3,2.00,-1.00,48.74,117.94
22391,1,1,3,2.00,-1.00,48.79,117.97
22430,1,1,3,2.00,-1.00,48.83,118.00
22468,1,1,3,2.00,-1.00,48.88,118.03
22507,1,1,3,2.00,-1.00,48.92,118.05
22546,1,1,3,2.00,-1.00,48.97,118.08
22584,1,1,3,2.00,-1.00,49.02,118.11
22623,1,1,3,2.00,-1.00,49.06,118.14
22661,1,1,3,2.00,-1.00,49.11,118.17
22700,1,2,3,1.00,-1.50,49.13,118.18
22737,1,2,3,1.00,-1.50,49.15,118.20
22776,1,2,3,1.00,-1.50,49.18,118.22
22815,1,2,3,1.00,-1.50,49.21,118.24
22853,1,2,3,1.00,-1.50,49.24,118.25
22892,1,2,3,1.00,-1.50,49.26,118.27
22930,1,2,3,1.00,-1.50,49.29,118.29
22969,1,2,3,1.00,-1.50,49.32,118.31
